YDR100W	YPL100W
YER025W	YER133W
YDR363W-A	YKL145W
YDR318W	YGL060W
YIL114C	YPL274W
YDL065C	YKL189W
YDR146C	YPL031C
YAL032C	YOR023C
YBR172C	YDR432W
YDR276C	YEL002C
YOL078W	YPR137W
YKL193C	YPL036W
YDL042C	YER129W
YDL150W	YNL151C
YLR150W	YPL150W
YDR225W	YNL030W
YHL031C	YOL018C
YDR388W	YJR043C
YBR079C	YER151C
YIR026C	YPL169C
YDL055C	YHR027C
YHR193C	YKR081C
YDL150W	YIR010W
YIL068C	YJL085W
YFL033C	YOL081W
YBR183W	YJL117W
YBR087W	YML105C
YJR125C	YOR351C
YHR088W	YNL002C
YDR169C	YFR014C
YDR032C	YDR369C
YDR356W	YLL003W
YFL008W	YJR112W
YBL003C	YHR193C
YDL239C	YDR520C
YGL181W	YPL031C
YLL039C	YOR329C
YLR328W	YML064C
YIR010W	YNL006W
YCL052C	YHR140W
YMR054W	YOR270C
YFR037C	YOR290C
YCR093W	YIR010W
YFL038C	YLR396C
YJR017C	YML010W
YER151C	YFR004W
YNL255C	YOR089C
YBR171W	YNL255C
YFL039C	YLR319C
YNL255C	YOR168W
YDR484W	YKR020W
YFR014C	YMR290C
YLR460C	YPL031C
YKR014C	YOL018C
YJL151C	YMR152W
YKR024C	YKR081C
YDR277C	YJL020C
YGL048C	YNR051C
YKL182W	YML100W
YHR135C	YNL314W
YDL031W	YML010W
YML048W	YMR149W
YLL039C	YLR377C
YGL203C	YJL053W
YML064C	YNL255C
YER151C	YIL051C
YJL104W	YNL255C
YLR306W	YPL003W
YML056C	YOL115W
YGL151W	YPR070W
YBR018C	YGL180W
YDL045W-A	YIL093C
YFL008W	YLL050C
YDL005C	YPL042C
YDR388W	YOR057W
YCL032W	YFR034C
YDR477W	YIL107C
YML016C	YOR308C
YER151C	YKL182W
YGL116W	YPL004C
YOR058C	YPL146C
YGR270W	YML069W
YHR072W	YLR056W
YJL084C	YLL039C
YGL137W	YKR067W
YFL047W	YFR004W
YHR113W	YML064C
YER151C	YLR449W
YDR169C	YPR080W
YGL099W	YKL180W
YML069W	YNL030W
YDR430C	YNL255C
YLL039C	YOR348C
YCR073C	YJL089W
YCR077C	YPR178W
YDR388W	YFR004W
YCR093W	YDR145W
YDL005C	YGL151W
YHR195W	YLL039C
YDR240C	YLR423C
YDR477W	YLL027W
YKL173W	YLR117C
YLR176C	YOR290C
YGR270W	YNL031C
YHR018C	YLL039C
YBR107C	YIR010W
YLL039C	YOR326W
YKL039W	YLL039C
YLR244C	YNL255C
YAL053W	YDR497C
YCR028C-A	YER020W
YDL006W	YPL180W
YIR010W	YLR095C
YEL047C	YFR004W
YGL104C	YHR114W
YFR004W	YIL116W
YGL111W	YNL082W
YAL028W	YBR171W
YAL009W	YDR211W
YGL158W	YLR055C
YIL034C	YIL062C
YKR072C	YML016C
YJL154C	YLL039C
YBR017C	YDL204W
YAL017W	YOR196C
YDL227C	YHR027C
YER151C	YLR109W
YPL049C	YPL070W
YDL181W	YKR054C
YBR137W	YOL111C
