Complex_ID,Complex_Size,Complex_Score,Complex_Overlap_Score,Protein_ID,Protein_Name
Complex_25,33,0.9808,0.3056,867,YPR016C
Complex_25,33,0.9808,0.3056,740,YNR053C
Complex_25,33,0.9808,0.3056,495,YKL009W
Complex_25,33,0.9808,0.3056,683,YNL061W
Complex_25,33,0.9808,0.3056,533,YLL008W
Complex_25,33,0.9808,0.3056,539,YLR002C
Complex_25,33,0.9808,0.3056,854,YPL211W
Complex_25,33,0.9808,0.3056,547,YLR106C
Complex_25,33,0.9808,0.3056,366,YGR245C
Complex_25,33,0.9808,0.3056,150,YDR101C
Complex_25,33,0.9808,0.3056,706,YNL182C
Complex_25,33,0.9808,0.3056,246,YER126C
Complex_25,33,0.9808,0.3056,297,YGL111W
Complex_25,33,0.9808,0.3056,808,YOR272W
Complex_25,33,0.9808,0.3056,258,YFL002C
Complex_25,33,0.9808,0.3056,755,YOL077C
Complex_25,33,0.9808,0.3056,670,YMR290C
Complex_25,33,0.9808,0.3056,393,YHR085W
Complex_25,33,0.9808,0.3056,388,YHR052W
Complex_25,33,0.9808,0.3056,642,YMR049C
Complex_25,33,0.9808,0.3056,796,YOR206W
Complex_25,33,0.9808,0.3056,215,YDR496C
Complex_25,33,0.9808,0.3056,147,YDR087C
Complex_25,33,0.9808,0.3056,861,YPL249C-A
Complex_25,33,0.9808,0.3056,90,YCR072C
Complex_26,34,0.9807,0.2966,775,YOR063W
Complex_26,34,0.9807,0.2966,495,YKL009W
Complex_26,34,0.9807,0.2966,837,YPL093W
Complex_26,34,0.9807,0.2966,228,YER006W
Complex_26,34,0.9807,0.2966,676,YNL002C
Complex_26,34,0.9807,0.2966,867,YPR016C
Complex_26,34,0.9807,0.2966,861,YPL249C-A
Complex_26,34,0.9807,0.2966,538,YLL045C
Complex_26,34,0.9807,0.2966,338,YGR103W
Complex_26,34,0.9807,0.2966,843,YPL131W
Complex_26,34,0.9807,0.2966,740,YNR053C
Complex_26,34,0.9807,0.2966,683,YNL061W
Complex_26,34,0.9807,0.2966,533,YLL008W
Complex_26,34,0.9807,0.2966,539,YLR002C
Complex_26,34,0.9807,0.2966,854,YPL211W
Complex_26,34,0.9807,0.2966,547,YLR106C
Complex_26,34,0.9807,0.2966,416,YHR197W
Complex_26,34,0.9807,0.2966,366,YGR245C
Complex_26,34,0.9807,0.2966,706,YNL182C
Complex_26,34,0.9807,0.2966,150,YDR101C
Complex_26,34,0.9807,0.2966,246,YER126C
Complex_26,34,0.9807,0.2966,297,YGL111W
Complex_26,34,0.9807,0.2966,808,YOR272W
Complex_26,34,0.9807,0.2966,318,YGL246C
Complex_26,34,0.9807,0.2966,258,YFL002C
Complex_26,34,0.9807,0.2966,670,YMR290C
Complex_26,34,0.9807,0.2966,755,YOL077C
Complex_26,34,0.9807,0.2966,388,YHR052W
Complex_26,34,0.9807,0.2966,642,YMR049C
Complex_26,34,0.9807,0.2966,393,YHR085W
Complex_26,34,0.9807,0.2966,529,YKR081C
Complex_26,34,0.9807,0.2966,215,YDR496C
Complex_26,34,0.9807,0.2966,796,YOR206W
Complex_26,34,0.9807,0.2966,147,YDR087C
Complex_27,12,0.9807,0.0167,269,YFR009W
Complex_27,12,0.9807,0.0167,312,YGL195W
Complex_27,12,0.9807,0.0167,555,YLR180W
Complex_27,12,0.9807,0.0167,385,YHR020W
Complex_27,12,0.9807,0.0167,637,YMR012W
Complex_27,12,0.9807,0.0167,36,YBR025C
Complex_27,12,0.9807,0.0167,547,YLR106C
Complex_27,12,0.9807,0.0167,498,YKL029C
Complex_27,12,0.9807,0.0167,365,YGR240C
Complex_27,12,0.9807,0.0167,788,YOR151C
Complex_27,12,0.9807,0.0167,428,YIL094C
Complex_27,12,0.9807,0.0167,784,YOR136W
Complex_28,34,0.9806,0.3529,147,YDR087C
Complex_28,34,0.9806,0.3529,670,YMR290C
Complex_28,34,0.9806,0.3529,683,YNL061W
Complex_28,34,0.9806,0.3529,228,YER006W
Complex_28,34,0.9806,0.3529,334,YGR085C
Complex_28,34,0.9806,0.3529,529,YKR081C
Complex_28,34,0.9806,0.3529,676,YNL002C
Complex_28,34,0.9806,0.3529,740,YNR053C
Complex_28,34,0.9806,0.3529,867,YPR016C
Complex_28,34,0.9806,0.3529,495,YKL009W
Complex_28,34,0.9806,0.3529,533,YLL008W
Complex_28,34,0.9806,0.3529,837,YPL093W
Complex_28,34,0.9806,0.3529,547,YLR106C
Complex_28,34,0.9806,0.3529,539,YLR002C
Complex_28,34,0.9806,0.3529,854,YPL211W
Complex_28,34,0.9806,0.3529,416,YHR197W
Complex_28,34,0.9806,0.3529,366,YGR245C
Complex_28,34,0.9806,0.3529,706,YNL182C
Complex_28,34,0.9806,0.3529,150,YDR101C
Complex_28,34,0.9806,0.3529,297,YGL111W
Complex_28,34,0.9806,0.3529,246,YER126C
Complex_28,34,0.9806,0.3529,808,YOR272W
Complex_28,34,0.9806,0.3529,338,YGR103W
Complex_28,34,0.9806,0.3529,258,YFL002C
Complex_28,34,0.9806,0.3529,755,YOL077C
Complex_28,34,0.9806,0.3529,388,YHR052W
Complex_28,34,0.9806,0.3529,642,YMR049C
Complex_28,34,0.9806,0.3529,796,YOR206W
Complex_28,34,0.9806,0.3529,215,YDR496C
Complex_28,34,0.9806,0.3529,611,YLR449W
Complex_28,34,0.9806,0.3529,90,YCR072C
Complex_28,34,0.9806,0.3529,861,YPL249C-A
Complex_28,34,0.9806,0.3529,584,YLR325C
Complex_28,34,0.9806,0.3529,694,YNL110C
Complex_29,34,0.9806,0.2966,775,YOR063W
Complex_29,34,0.9806,0.2966,808,YOR272W
Complex_29,34,0.9806,0.2966,670,YMR290C
Complex_29,34,0.9806,0.2966,683,YNL061W
Complex_29,34,0.9806,0.2966,388,YHR052W
Complex_29,34,0.9806,0.2966,676,YNL002C
Complex_29,34,0.9806,0.2966,533,YLL008W
Complex_29,34,0.9806,0.2966,854,YPL211W
Complex_29,34,0.9806,0.2966,395,YHR088W
Complex_29,34,0.9806,0.2966,796,YOR206W
Complex_29,34,0.9806,0.2966,837,YPL093W
Complex_29,34,0.9806,0.2966,100,YDL031W
Complex_29,34,0.9806,0.2966,228,YER006W
Complex_29,34,0.9806,0.2966,755,YOL077C
Complex_29,34,0.9806,0.2966,297,YGL111W
Complex_29,34,0.9806,0.2966,258,YFL002C
Complex_29,34,0.9806,0.2966,539,YLR002C
Complex_29,34,0.9806,0.2966,642,YMR049C
Complex_29,34,0.9806,0.2966,495,YKL009W
Complex_29,34,0.9806,0.2966,694,YNL110C
Complex_29,34,0.9806,0.2966,416,YHR197W
Complex_29,34,0.9806,0.2966,338,YGR103W
Complex_29,34,0.9806,0.2966,740,YNR053C
Complex_29,34,0.9806,0.2966,867,YPR016C
Complex_29,34,0.9806,0.2966,547,YLR106C
Complex_29,34,0.9806,0.2966,366,YGR245C
Complex_29,34,0.9806,0.2966,706,YNL182C
Complex_29,34,0.9806,0.2966,150,YDR101C
Complex_29,34,0.9806,0.2966,246,YER126C
Complex_29,34,0.9806,0.2966,393,YHR085W
Complex_29,34,0.9806,0.2966,529,YKR081C
Complex_29,34,0.9806,0.2966,215,YDR496C
