	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12
YLR067C	1	1	1	0	1	0	0	0	1	1	1	1
YMR079W	0	0	1	0	0	0	1	1	1	1	1	1
YPR010C	0	0	1	0	1	1	1	1	1	1	1	1
YOR287C	0	0	1	1	1	1	1	1	1	1	1	1
YIR022W	1	1	0	1	1	0	1	1	0	1	1	0
YGR006W	1	1	1	1	1	1	1	1	1	1	0	0
YLR127C	1	1	0	1	0	1	0	1	1	0	1	1
YLL027W	1	0	1	0	1	1	1	1	1	1	1	0
YLR467W	1	0	0	0	1	0	1	0	1	1	1	1
YBR028C	1	0	0	0	0	0	0	1	1	1	1	1
YNR036C	1	1	1	1	0	0	0	0	1	1	1	1
YGR122W	1	1	1	1	1	1	1	0	1	0	0	1
YOL011W	1	1	1	1	1	1	1	0	1	1	0	0
YPL042C	1	1	1	1	1	0	0	1	1	1	1	1
YIL001W	1	1	1	1	1	1	1	0	1	1	1	0
YNL064C	0	0	0	1	1	1	1	1	1	1	1	0
YPL177C	0	1	1	1	1	1	1	1	1	0	0	0
YPL002C	1	0	0	1	1	1	1	0	1	1	0	1
YLL004W	0	1	1	1	1	1	1	1	1	1	1	1
YBR148W	0	1	1	1	1	1	0	0	1	1	0	1
YDR253C	0	0	0	0	1	0	1	1	1	1	1	1
YML109W	1	1	1	0	0	0	1	0	1	1	1	1
YBR080C	1	0	1	1	0	1	1	0	1	1	1	1
YPL244C	1	0	0	0	0	0	1	1	1	1	1	1
YNR006W	1	1	1	1	0	1	1	1	1	0	0	0
YPL183W-A	1	1	0	0	0	0	0	0	1	1	1	1
YER040W	0	1	1	1	1	1	1	1	0	1	0	1
YPL045W	1	0	1	1	1	1	0	1	0	1	1	1
YAL002W	0	1	1	1	1	1	1	0	1	0	1	1
YGR030C	1	1	1	1	1	1	1	1	0	0	0	0
YKL168C	1	1	1	1	1	1	1	0	0	0	1	0
YNL243W	1	1	1	1	1	0	0	0	1	1	1	1
YAL067C	1	1	1	1	1	0	1	0	1	1	0	0
YJR066W	1	1	1	1	1	1	0	0	1	1	0	1
YLL056C	0	1	1	1	1	1	1	1	0	0	0	0
YJL212C	1	1	1	1	1	1	1	1	1	1	0	1
YOR310C	0	0	0	0	0	1	1	1	1	1	1	1
YPR194C	1	1	0	0	0	0	0	0	1	1	1	1
YPR117W	1	1	1	1	1	1	0	0	0	0	1	1
YPR018W	1	0	0	0	0	0	1	1	1	1	1	1
YBR115C	1	0	0	0	1	1	1	1	1	1	1	1
YGR209C	1	1	1	1	1	1	1	1	0	1	1	0
YHR159W	1	1	1	1	1	1	1	0	0	1	1	1
YNL305C	1	1	1	1	1	1	1	0	1	0	0	0
YKL173W	0	1	1	1	1	1	0	1	1	0	0	0
YEL025C	1	1	1	1	1	1	0	0	1	1	1	1
YDR213W	0	0	1	1	1	1	1	1	1	1	0	0
YGR168C	1	1	1	1	1	1	1	0	0	0	1	0
YBR125C	1	0	1	1	0	1	0	1	1	1	1	1
YPL135W	1	1	1	1	1	1	1	0	0	0	0	0
YLR312W-A	1	1	0	0	0	0	0	0	1	1	1	1
YDL127W	0	1	1	0	1	0	0	0	1	1	1	1
YBR245C	1	1	0	0	0	0	0	1	1	1	1	1
YOR271C	1	1	1	0	0	0	1	1	1	1	1	1
YJR134C	1	1	1	0	1	1	0	1	1	1	0	1
YER056C-A	0	0	0	0	0	1	1	1	1	1	1	1
YER045C	1	1	0	1	1	0	1	1	1	1	0	1
YKL019W	1	1	0	0	0	0	1	1	1	1	0	1
YNL027W	0	1	1	1	1	1	0	0	1	0	0	1
YHR102W	1	0	0	0	1	1	1	0	0	1	1	1
YGR245C	0	0	0	1	1	1	1	1	1	1	1	1
YCR051W	1	1	1	1	1	1	1	1	1	0	0	0
YOR251C	0	1	1	1	1	1	1	1	0	0	0	0
YJL164C	1	1	1	1	1	1	1	0	0	0	0	0
YAR031W	1	1	1	1	1	1	1	0	0	1	0	0
YIL078W	1	0	0	0	1	0	0	1	1	1	1	1
YOR246C	1	0	0	0	0	0	1	1	1	1	1	1
YJL149W	1	0	1	1	1	1	1	0	1	0	0	0
YGL240W	0	0	0	1	1	1	1	1	1	1	0	0
YFL017W-A	0	1	0	1	1	1	0	1	1	0	1	1
YPL267W	1	0	0	0	0	0	1	0	1	1	1	1
YHR040W	0	0	1	1	1	1	1	1	1	1	1	1
YLR417W	1	1	1	1	1	1	1	0	0	0	1	1
YNL125C	1	1	1	1	1	1	1	1	0	0	0	0
YDR014W	1	0	0	1	0	1	1	1	1	1	1	1
YKL095W	1	0	1	1	1	1	1	1	1	1	0	0
YOR351C	0	1	1	0	1	1	0	0	1	1	1	1
YOL146W	1	1	1	1	0	0	0	1	1	1	1	1
YGR027C	0	0	0	1	0	1	0	1	1	1	1	1
YMR304W	1	1	1	1	1	1	1	0	0	0	0	0
YLL060C	0	1	1	1	1	1	1	1	0	0	1	0
YCL033C	1	1	1	1	1	1	1	1	0	1	0	0
YOR189W	1	0	0	1	0	1	0	1	1	1	1	1
YBR108W	1	1	1	1	1	1	1	0	1	0	0	0
YBR217W	0	1	1	1	1	1	1	0	0	0	0	0
YAL003W	1	0	0	0	1	1	1	1	1	1	1	1
YBR182C	1	0	1	1	1	1	1	1	1	1	1	1
YBL097W	1	1	1	1	0	0	0	1	1	0	1	1
YPR107C	1	1	1	1	1	1	1	0	1	1	1	1
YJL061W	0	0	1	0	1	1	0	1	1	1	1	1
YMR148W	1	1	1	1	1	1	1	1	0	0	0	0
YJL121C	1	1	1	0	0	0	1	1	1	0	1	1
YPR070W	0	0	1	1	0	1	0	1	1	1	0	0
YGL142C	1	1	0	1	1	1	1	0	1	1	1	0
YPL248C	1	1	1	1	1	1	1	0	0	1	1	0
YKL138C	1	1	1	0	0	0	0	0	1	1	1	1
YML068W	0	0	0	1	1	1	1	0	0	1	1	1
YIL016W	1	0	0	1	1	1	0	1	0	1	1	1
YDL108W	0	0	0	1	1	1	1	1	1	1	1	1
YDR504C	1	1	1	1	1	1	1	0	0	0	0	0
YPR191W	1	1	1	1	0	0	0	0	1	1	1	1
YLR351C	1	1	0	1	1	0	0	1	1	1	1	1
YHL021C	1	1	1	1	1	1	0	0	1	1	1	1
YKL090W	1	1	0	1	1	1	0	0	1	0	1	1
