YAR031W	YCR030C
YHR082C	YPL031C
YER095W	YJL092W
YBR059C	YMR004W
YJR052W	YMR201C
YDR456W	YIR022W
YDL140C	YLR015W
YAL032C	YKL173W
YBR200W	YMR212C
YDL006W	YDR507C
YMR072W	YOR374W
YAR007C	YNL031C
YBL032W	YHR082C
YLR033W	YPL139C
YDR247W	YNL295W
YBL032W	YMR040W
YDL215C	YMR304W
YDR137W	YLR039C
YLL036C	YMR125W
YDR363W-A	YLR421C
YJL084C	YPR029C
YJL092W	YLR035C
YLR219W	YOR181W
YDL185W	YNR051C
YLR275W	YMR288W
YNL197C	YNR046W
YGL048C	YMR001C
YGL006W	YPL006W
YBR152W	YDL030W
YER040W	YNL189W
YER112W	YNR051C
YLL039C	YMR080C
YDR054C	YFL029C
YBL007C	YHL002W
YGL037C	YHR200W
YAL005C	YDR390C
YDR027C	YLR262C
YBL032W	YCL008C
YBL032W	YPR160W
YDL155W	YIL106W
YDR164C	YMR183C
YER112W	YER146W
YBR289W	YPR034W
YIL105C	YLR423C
Q0130	YOL027C
YDL185W	YHR200W
YDR283C	YLL039C
YGL059W	YLR258W
YDR394W	YOR261C
YGL158W	YHR044C
YBL003C	YJR010C-A
YGL120C	YIL033C
YGR080W	YNL138W
YHR094C	YLL039C
YKR001C	YMR072W
YDL002C	YKR001C
YGL051W	YHR082C
YBR251W	YER050C
YJL219W	YML048W
YLR075W	YNR051C
YBL102W	YFL048C
YOR119C	YPR082C
YHL022C	YLR329W
YKL104C	YOR151C
YBR160W	YML034W
YBR298C	YGR041W
YGL006W	YHR175W
YGR192C	YKL129C
YDL053C	YNR051C
YCR004C	YDL101C
YDR448W	YPL122C
YBR194W	YMR070W
YLR357W	YPR034W
YBL007C	YKR001C
YGL120C	YPL146C
YMR236W	YPL047W
YGR092W	YPL242C
YBR260C	YKR055W
YGR258C	YLR005W
YBL032W	YDR259C
YGL158W	YKR048C
YPL221W	YPR138C
YER173W	YNL290W
YOL148C	YPL047W
YLR102C	YPL031C
YBR133C	YGL187C
YLR025W	YPR173C
YDR323C	YMR231W
YBR160W	YDR501W
YBL032W	YML053C
YBR122C	YDR462W
YGR092W	YNR006W
YGL055W	YJR059W
YDL019C	YGR092W
YDL184C	YER146W
YGL055W	YNL197C
YCR086W	YOR281C
YBR200W	YML001W
YER033C	YPL031C
YBR159W	YIL105C
YER139C	YJL006C
YBL099W	YNL315C
YGR097W	YJL106W
YLR125W	YMR030W
