YKL104C	YOR151C
YGL197W	YNL025C
YGR270W	YKR008W
YDR308C	YLR315W
YLR347C	YMR047C
YBR200W	YGL233W
YDL213C	YDR324C
YGR260W	YHR026W
YDR254W	YOL091W
YBL007C	YKR001C
YMR197C	YOR327C
YHR200W	YPL160W
YJL033W	YMR216C
YAL047C	YOR373W
YFL038C	YML086C
YGR092W	YPL242C
YJL165C	YMR076C
YLR191W	YNL329C
YDL013W	YDR320C
YER125W	YER177W
YAL016W	YOL113W
YOL148C	YPL047W
YPL049C	YPR017C
YNL197C	YOR301W
YIL115C	YKL049C
YGL112C	YGL120C
YGR134W	YPL268W
YBL007C	YHR108W
YGR092W	YNR006W
YDL019C	YGR092W
YJL057C	YKL130C
YDR080W	YLR093C
YJL106W	YLR221C
YBR159W	YIL105C
YDL082W	YHL001W
YJR096W	YPL150W
YGR097W	YJL106W
YLR362W	YPL201C
YBR080C	YGR209C
YLR449W	YOR340C
YAR027W	YGL104C
YIL084C	YML065W
YKL145W	YPR080W
YLR362W	YMR139W
YDR384C	YPR156C
YBR264C	YJL187C
YBL050W	YOL018C
YDL115C	YJL187C
YHR092C	YJR066W
YLR025W	YNL265C
YJR073C	YNL197C
YBL030C	YML065W
YGL233W	YJL085W
YKR035W-A	YNL265C
YBR170C	YFL044C
YFR004W	YGL206C
YOR128C	YPR088C
YFR004W	YIL041W
YJR130C	YNL197C
YJL098W	YPL049C
YDR244W	YDR265W
YGL134W	YOL113W
YJR132W	YOR098C
YGR136W	YOR181W
YDL029W	YDL149W
YIL004C	YLR078C
YDR293C	YGR092W
YHL035C	YHR114W
YDR142C	YKL103C
YAR027W	YPR128C
YBR078W	YJR066W
YER112W	YLL036C
YDL130W	YDR251W
YER082C	YJL164C
YDR060W	YPL012W
YKL145W	YPL248C
YDR006C	YFR004W
YNL197C	YNL322C
YDL213C	YHL038C
YLR241W	YNR060W
YGR209C	YHR152W
YER141W	YJL141C
YML012W	YNL307C
YFL039C	YOR367W
YER173W	YPL178W
YHR114W	YMR162C
YFL007W	YML092C
YBL007C	YDL203C
YKL049C	YPL226W
YDR343C	YOR181W
YHR155W	YNL197C
YAR007C	YOL090W
YDL126C	YFL044C
YBR080C	YOR036W
YBR234C	YNL243W
YKR001C	YOR304W
YCR057C	YER082C
YDR453C	YGR185C
YDR051C	YLR024C
YGL190C	YLR191W
YHL018W	YJL098W
YFL002C	YNL061W
YDL160C	YGL137W
YBR088C	YOR117W
YGL025C	YNR010W
YBL085W	YJR138W
YBL035C	YOL094C
YOR069W	YOR132W
YJL141C	YJR059W
YBR234C	YLR241W
YDL140C	YIL143C
YAL032C	YGL120C
YGL003C	YGL116W
YAL016W	YFR004W
YGL095C	YOL018C
YGR059W	YMR065W
YLR083C	YPL264C
YLR378C	YOR085W
YAL028W	YNL197C
YJR066W	YPR156C
YGR013W	YPR178W
YMR105C	YOR327C
YCL032W	YNL180C
YGR270W	YOR116C
YML064C	YPL111W
YGL201C	YML069W
YBL055C	YHR135C
YHL001W	YMR029C
YMR290C	YPL220W
YHL030W	YHR200W
YBL007C	YPL012W
YFR001W	YKL172W
YKR097W	YPL203W
YGR250C	YJL052W
YAL056W	YOL081W
YFL033C	YNL157W
YER143W	YOR327C
YGR104C	YNR010W
YDR424C	YIL115C
YHL001W	YOR117W
YBR107C	YDR254W
YLL021W	YLL026W
YGR186W	YKL028W
YBR084W	YKL180W
YBR080C	YLR078C
YDL213C	YJR145C
YMR216C	YNL173C
YAR019C	YIL106W
YDL020C	YLR024C
YHR025W	YKR081C
YKL145W	YPR108W
YMR165C	YOL016C
