YFL005W	YGL106W
YJL138C	YMR083W
YLR176C	YOR290C
YHR007C	YKL201C
YBR247C	YPL217C
YEL051W	YGL006W
YBL003C	YOL054W
YHR018C	YLL039C
YNL209W	YPR045C
YKL116C	YLR389C
YKL039W	YLL039C
YBL103C	YNL076W
YBR150C	YOL089C
YJL164C	YPL100W
YFR013W	YNR047W
YDL006W	YPL180W
YEL002C	YLR350W
YBR188C	YLR424W
YDR381W	YIL026C
YBL103C	YLR423C
YBR001C	YLL039C
YGL104C	YHR114W
YJR014W	YKL166C
YBR086C	YJR045C
YGL158W	YLR055C
YIL063C	YLL039C
YJL154C	YLL039C
YJL026W	YOR229W
YIL104C	YJL095W
YML032C	YPL240C
YGL112C	YMR227C
YJL095W	YNL272C
YDL214C	YHR139C
YAR042W	YER120W
YNL189W	YPR018W
YPL049C	YPL070W
YDR308C	YNL236W
YDR176W	YLR423C
YHR152W	YLR044C
YDL014W	YNL132W
YPL240C	YPR128C
YDR176W	YOR023C
YGL179C	YKL197C
YNL236W	YPL042C
YER002W	YPR016C
YGR103W	YOR272W
YJL036W	YPL201C
YKR081C	YNR053C
YIL103W	YMR083W
YGR103W	YNL124W
YCR100C	YNL307C
YDL113C	YFR040W
YMR142C	YNL069C
YBR017C	YNR069C
YBR198C	YJL011C
YBR152W	YKL173W
YLL039C	YOR099W
YDL059C	YGR086C
YGL116W	YMR179W
YCL032W	YGL133W
YGL205W	YJR059W
YCR072C	YLR009W
YDR307W	YLR372W
YAL055W	YDL065C
YBR177C	YFR014C
YAL025C	YGR103W
YDR037W	YGL180W
YOR351C	YPL100W
YGR113W	YLR424W
YDL123W	YML121W
YFR024C-A	YOR247W
YJL060W	YLL039C
YDR337W	YNL306W
YCR077C	YDL184C
YDL115C	YMR291W
YDL014W	YOR206W
YDR377W	YML081C-A
YLR153C	YOL013C
YDR235W	YER029C
YDR380W	YLL039C
YOR124C	YOR138C
YAL068C	YGL158W
YML127W	YPR034W
YAR042W	YDR100W
YCR057C	YOR310C
YGL048C	YGL141W
YAL017W	YKL035W
YHR113W	YPL129W
YGL006W	YLL039C
YKL172W	YPL043W
YML069W	YPR052C
YBR122C	YNL005C
YOR117W	YPL061W
YLL039C	YNL305C
YBR095C	YNL189W
YDR087C	YGL120C
YHR152W	YOR369C
YLL014W	YML029W
YBL093C	YML007W
YKR092C	YNL112W
YBL084C	YPL174C
YLR186W	YPR144C
YDL077C	YMR231W
YCR014C	YKL145W
YFL002C	YLL008W
YMR155W	YPL240C
YGL090W	YLR424W
YGL120C	YOR290C
YJL164C	YNL098C
YDL030W	YKL173W
YAL060W	YAL061W
YJL006C	YNR064C
YAL017W	YDR259C
YER006W	YHR088W
YJL020C	YJR149W
YGL158W	YHL027W
YDR057W	YKL145W
YNL209W	YPR144C
YDL140C	YDR356W
YBR241C	YML012W
YDR381W	YHR039C
YBL097W	YNL088W
YBR264C	YNL044W
YBR010W	YPR019W
